Byte No.,Contents
1-2,J – pentagonal resolution parameter (1)
3-4,K – pentagonal resolution parameter (1)
5-6,M – pentagonal resolution parameter (1)
7,Representation type indicating the method used to define the norm (see Code table 4.4)
8,Representation mode indicating the order of the coefficients (see Code table 4.5)
