Code figure,Meaning
0,"Observable property by discipline, category and number"
1,Observable property with units conversion
2,Atmospheric chemical or physical constituent    
3,Aerosol physical property
4,Aerosol optical property
5–32767,Reserved
32768–65534,Reserved for local use
65535,Missing
