Code figure,Meaning
0,Reserved
1,Urban land
2,Agriculture
3,Range land
4,Deciduous forest
5,Coniferous forest
6,Forest/wetland
7,Water
8,Wetlands
9,Desert
10,Tundra
11,Ice
12,Tropical forest
13,Savannah
14–191,Reserved
192–254,Reserved for local use
255,Missing
