Code figure,Meaning
0,Clear
1,Cumulonimbus
2,Stratus
3,Stratocumulus
4,Cumulus
5,Altostratus
6,Nimbostratus
7,Altocumulus
8,Cirrostratus
9,Cirrocumulus
10,Cirrus
11,Cumulonimbus – ground-based fog beneath the lowest layer
12,Stratus – ground-based fog beneath the lowest layer
13,Stratocumulus – ground-based fog beneath the lowest layer
14,Cumulus – ground-based fog beneath the lowest layer
15,Altostratus – ground-based fog beneath the lowest layer
16,Nimbostratus – ground-based fog beneath the lowest layer
17,Altocumulus – ground-based fog beneath the lowest layer
18,Cirrostratus – ground-based fog beneath the lowest layer
19,Cirrocumulus – ground-based fog beneath the lowest layer
20,Cirrus – ground-based fog beneath the lowest layer
21–190,Reserved
191,Unknown
192–254,Reserved for local use
255,Missing
