Code figure,Meaning
0,Reserved
1,Rain
2,Thunderstorm
3,Freezing rain
4,Mixed/ice
5,Snow
6,Wet snow
7,Mixture of rain and snow
8,Ice pellets
9,Graupel
10,Hail
11,Drizzle
12,Freezing drizzle
13–191,Reserved
192–254,Reserved for local use
255,Missing
