Number,Parameter,Units
2,Long-wave radiation flux,W m–2
3,Downward long-wave radiation flux,W m–2
4,Upward long-wave radiation flux,W m–2
5,Net long-wave radiation flux,W m–2
6,"Net long-wave radiation flux, clear sky",W m–2
7,Brightness temperature,K
8–191,Reserved,
192–254,Reserved for local use,
255,Missing,
