Code figure,Meaning
0,Unperturbed high-resolution control forecast
1,Unperturbed low-resolution control forecast
2,Negatively perturbed forecast
3,Positively perturbed forecast
4–191,Reserved
192–254,Reserved for local use
255,Missing
