Code figure,Meaning
0,Reserved
1,Sand
2,Loamy sand
3,Sandy loam
4,Silt loam
5,Organic (redefined)
6,Sandy clay loam
7,Silt clay loam
8,Clay loam
9,Sandy clay
10,Silty clay
11,Clay
12–191,Reserved
192–254,Reserved for local use
255,Missing
