Component Code,Component Name
4.0,Ellipsoid of revolution defined with axis lengths
4.4,Latitudes simple packing
4.6,Periodic longitudes with number of points per parallel and longitude of first point per parallel
4.2,Rotation of latitude/longitude coordinate system
