Component Code,Component Name
4.0,Ellipsoid of revolution defined with axis lengths
4.8,Regular Latitudes
4.5,Periodic longitudes with number of points per parallel
4.10,Selection of latitudes
4.12,Selection of points per parallel
4.2,Rotation of latitude/longitude coordinate system
