Component Code,Component Name
4.0,Ellipsoid of revolution defined with axis lengths
4.4,Latitudes simple packing
4.7,Non-periodic longitudes with number of points per parallel
4.10,Selection of latitudes
4.12,Selection of points per parallel
4.2,Rotation of latitude/longitude coordinate system
