Component Code,Component Name
4.0,Ellipsoid of revolution defined with axis lengths
4.8,Regular Latitudes
4.6,Periodic longitudes with number of points per parallel and longitude of first point per parallel
4.10,Selection of latitudes
4.12,Selection of points per parallel
