Byte No.,Content
1–4,GRIB (coded according to the International Alphabet No. 5)
5–6,Reserved
7,Master tables version number (see Code Table 0.0 and Note 1–3 in Section 1)
8,Edition number (3)
9–16,Total length of GRIB message in bytes (including Section 0)
