Byte No.,Contents
1–4,Length of section in bytes (7 or nn)
5,Number of section (9)
6-7,Section Unique Identifier (SUI)
8–9,Overlay Template number (see Code Table 9.0)
10–nn,Overlay Template (see Template 9.N where N is the Overlay Template number given in bytes 8-9)
